author1	author2	#coauthor
Ricardo Vilalta	Sheng Ma	2
Dongfeng Chen	Rada Chirkova	1
Paolo Giorgini	Aldo Franco Dragoni	1
Jason Tsong-Li Wang	Qicheng Ma	1
Takashi Washio	Teruaki Homma	1
Ivor Tsang	Bo Chen	1
Sunil Prabhakar	Rahul Shah	1
Jayant Kalagnanam	Moninder Singh	2
Chotirat (Ann) Ratanamahatana	Stefano Lonardi	1
Michael Brinkmeier	Jeremias Werner	1
Ning Zhong	Jian Yang	1
Jiawei Han	Micheline Kamber	1
Jian Pei	Dik Lun Lee	1
Ming-Syan Chen	Ming-Jyh Hsieh	2
Hendrik Blockeel	Bart Goethals	1
Guang Feng	Tie-Yan Liu	1
Anjan Goswami	Ruoming Jin	1
Helger Lipmaa	Taneli Mielikainen	1
Jorg Sander	Xiaowei Xu	2
Songbo Tan	Hongbo Xu	1
Kun Zhang	ErHeng Zhong	2
Prasad Naldurg	Ramarathnam Venkatesan	1
Talel Abdessalem	Bilel Gueni	1
Bin Ma	Chong Long	1
Ryan Rich	Rui Xiao	1
Yefei Peng	Haibin Cheng	1
Ju-Won Song	Min-Jae Lee	1
Alexandre V. Evfimievski	Rakesh Agrawal	1
Llew Mason	Suhail Ansari	1
Katsuhiko Takabayashi	Einoshin Suzuki	1
Petros Drineas	Mauro Maggioni	1
Jian Pei	Charu C. Aggarwal	1
Jesus Vegas	Jorge Cabrero	1
Somayajulu Sripada	Jin Yu	1
Xuerui Wang	Marcus Fontoura	1
Jianfeng Gao	Binggong Ding	1
Robert Wing Pong Luk	Pui-ying Tang	1
Mohammed Javeed Zaki	Mohammad Al Hasan	1
Benyu Zhang	Dong Zhuang	1
Wayne Niblack	Jeonghee Yi	1
Katsuhiko Takabayashi	Takeshi Watanabe	1
Heikki Mannila	Padhraic Smyth	3
Feida Zhu	Philip S. Yu	2
Jian Pei	Jaewoo Kang	1
Lars Backstrom	Ravi Kumar	2
Petros Drineas	Christos Boutsidis	1
Vipin Kumar	Hui Xiong	5
Yuhong Xiong	Ping Luo	2
Shuzhen Nong	Zheng Chen	1
Alfonso F. Cardenas	Terence Critchlow	1
Jan M. Zytkow	Robert Zembowicz	1
Runa Bhaumik	Chad Williams	2
Takashi Washio	Hiroshi Motoda	4
Gene Alexander	Min Bae	1
Paul Ogilvie	Matthew D. Schmill	1
Qiang Yang	Rajan M. Lukose	1
Alex Kehlenbeck	Casey Whitelaw	1
Ido Guy	Ronny Lempel	1
Jacob Furst	Ruchaneewan Susomboon	1
Erik Pasche	Natasa Manojlovic	1
Min Zhang	Liyun Ru	1
Masahiro Motoyoshi	Kohei Watanabe	1
Umaa Rebbapragada	Dragomir Yankov	1
Daniel C. Zilio	Kelly A. Lyons	1
King-Ip Lin	Xiong Wang	1
Rina Panigrahy	Ying Xu	1
Cory J. Butz	Hong Yao	1
James Allan	Marc-Allen Cartright	1
Manolis Terrovitis	Panos Vassiliadis	1
Branko Kavsek	Ljupco Todorovski	1
Ling Liu	Mudhakar Srivatsa	1
Adam Smith	Shiva Prasad Kasiviswanathan	1
Peter Vorburger	Abraham Bernstein	1
Christos Faloutsos	Mark R. Verardo	1
Giuseppe Psaila	Alessandro Campi	1
Mohamed S. Kamel	Yanmin Sun	1
Xiaodan Song	Ching-Yung Lin	1
Chabane Djeraba	Ronen Feldman	1
Jiajun Bu	Jian Pei	1
Min-Ling Zhang	Zhi-Hua Zhou	1
Christos Faloutsos	Christian Bohm	1
Christos Faloutsos	Chao Liu	1
Jiawei Han	Shengnan Cong	1
Markus Wawryniuk	Amihood Amir	1
David A. Grossman	Clement T. Yu	1
Evangelos Simoudis	Ronald J. Brachman	1
Tak-Chung Fu	Robert Wing Pong Luk	1
Hillol Kargupta	Souptik Datta	1
Nemanja Petrovic	Lyle H. Ungar	1
Jiong Yang	Yifan Li	1
Byron J. Gao	Hui Xiong	1
Shamkant B. Navathe	Edward Omiecinski	1
Min Zhang	Rongjing Xiang	1
Ning Zhong	Setsuo Ohsuga	3
Eduarda Mendes Rodrigues	Blaz Fortuna	1
Rakesh Agrawal	Prabhakar Raghavan	1
Benyu Zhang	Wei-Ying Ma	4
Jimeng Sun	Christos Boutsidis	1
Maria Prapopoulou	Gary P. Moss	1
Roger Longbotham	Ron Kohavi	1
Jahangir Mohammed	Anurag Ambekar	1
Fabio Tango	Marco Botta	1
Paolo Boldi	Carlos Castillo	2
Jian Pei	Hongjun Lu	1
Ad Feelders	Nicola Barile	1
Yi Zhang	Ada Wai-Chee Fu	1
Christos Faloutsos	Pinar Duygulu	1
Xiangji Huang	Jianhan Zhu	1
Umeshwar Dayal	Meichun Hsu	1
Rong Jin	Feng Kang	1
Alex Kehlenbeck	Nemanja Petrovic	1
Gregory Piatetsky-Shapiro	Ronald J. Brachman	1
Srujana Merugu	Arindam Banerjee	1
Nele Dexters	Toon Calders	1
Amit P. Sheth	M. Fisher	1
Kenji Yamanishi	Satoshi Morinaga	3
Juan Pedro Caraca-Valente	Cesar Montes	1
Deepavali Bhagwat	Kave Eshghi	1
Kian-Lee Tan	Boon Chin Chua	1
Paul Ogilvie	Dawn Lawrie	1
Lin Qiao	Amr El Abbadi	1
Yisheng Dong	Gang Qian	1
Peng Cui	Fei Wang	1
Xianghong Jasmine Zhou	Jiawei Han	1
Steve A. Chien	Nghia Tang	1
Naren Ramakrishnan	Debprakash Patnaik	1
Bianca Zadrozny	John Langford	3
Shai Ben-David	Johannes Gehrke	1
David E. Patterson	Bernd Wiswedel	1
Padhraic Smyth	Christopher Meek	1
Srujana Merugu	Claudia Perlich	1
Justin Zobel	Hugh E. Williams	1
Wei Wang	Yongjian Fu	1
Martin Gerlach	Stefan Edlund	1
Hendrik Blockeel	Adriana Prado	1
Jan M. Zytkow	Arun P. Sanjeev	1
Sunil S. Nair	Shashi K. Gadia	1
Sara J. Graves	Robert Atlas	1
Umaa Rebbapragada	Eamonn J. Keogh	1
Enhong Chen	Jian Pei	1
Dimitra Vista	Mark A. Jones	1
Jeremy J. Bornstein	Daniel E. Rose	1
Kenji Tateishi	Toshikazu Fukushima	1
Roy J. Byrd	Mary S. Neff	1
Anh-Tuan Tran	Mahesh Jagannath	1
Jose A. Taboada	C. David Cooke	1
Toshikazu Wada	Tomoyuki Shibata	1
Arbee L. P. Chen	Jia-Lien Hsu	2
Maguelonne Teisseire	Vishal Kapoor	1
Haixun Wang	Richard R. Muntz	1
Peter M. G. Apers	Roelof van Zwol	1
Aravindan Raghuveer	Mohamed F. Mokbel	1
Gerhard Weikum	Fabian M. Suchanek	1
Kamalakar Karlapalem	Chi-Wai Fung	1
Arnab Bhattacharya	Ambuj K. Singh	1
Anton Schwaighofer	Xiaowei Xu	1
Lini T. Thomas	Kamalakar Karlapalem	1
Jin Dong	Bin Zhang	1
Peter Jackson	Khalid Al-Kofahi	2
June-Suh Cho	Sang-Wook Kim	1
Christian W. Omlin	C. Lee Giles	1
Chunnian Liu	Muneaki Ohshima	1
Pavel Calado	Weiguo Fan	3
Jian-Tao Sun	Qiang Yang	2
S. V. N. Vishwanathan	Quoc V. Le	1
Soon Young Jung	SangKeun Lee	2
Steve A. Chien	Rebecca Castano	2
Demetrios Zeinalipour-Yazti	Dimitrios Gunopulos	2
Carlotta Domeniconi	Pu Wang	2
Biplav Srivastava	Vishal S. Batra	2
Kian-Lee Tan	Dimuthu Prasanna Makawita	1
Jinbo Bi	Senthil Periaswamy	1
Keith Wagner	Mingkun Li	1
Maria Prapopoulou	Neil Davey	1
Bernd Wachmann	Julien Etienne	2
Robert J. Yan	Charles X. Ling	1
Panos Vassiliadis	Timos K. Sellis	1
Mukund Deshpande	George Karypis	2
Gregory Piatetsky-Shapiro	Padhraic Smyth	1
Peer Kroger	Matthias Schubert	1
Michael Vassilakopoulos	Enrico Nardelli	1
Taneli Mielikainen	Aristides Gionis	3
Mykola Pechenizkiy	Andriy Ivannikov	1
Wei-Ying Ma	Gongyi Wu	1
David W. Cheung	Marios Hadjieleftheriou	1
Kuntal Dey	Natwar Modani	1
Eric Reiman	Liang Sun	1
Foster J. Provost	Venkateswarlu Kolluri	1
Yao Wang	John Chen	1
Wynne Hsu	Minqing Hu	1
Vikram Subramanya	Andrew Trotman	1
